"","line","section_name","section_artist","song_name","artist_name","song_id"
"245","Dig deep within","Verse 2","Epica","Death is Not the End","Epica",8384862
"246","The chains of fear arе weakening","Verse 2","Epica","Death is Not the End","Epica",8384862
"247","Pain as the kеy","Verse 2","Epica","Death is Not the End","Epica",8384862
"248","To rise above the suffering","Verse 2","Epica","Death is Not the End","Epica",8384862
"249","Lost in madness","Pre-Chorus","Epica","Death is Not the End","Epica",8384862
"250","Climb out of the darkness","Pre-Chorus","Epica","Death is Not the End","Epica",8384862
"251","Breathe through my final breath","Chorus","Epica","Death is Not the End","Epica",8384862
"252","Fear of a never-ending trail of tears","Chorus","Epica","Death is Not the End","Epica",8384862
"253","Death is not the end","Chorus","Epica","Death is Not the End","Epica",8384862
"254","Blood all over your hands","Chorus","Epica","Death is Not the End","Epica",8384862
"255","Guilt preserves the pain, and I can't make amends","Chorus","Epica","Death is Not the End","Epica",8384862
"256","Catch that final breath","Chorus","Epica","Death is Not the End","Epica",8384862
"257","Mortal death is near","Chorus","Epica","Death is Not the End","Epica",8384862
"258","Surf the waves and do not fear","Bridge","Epica","Death is Not the End","Epica",8384862
"259","Reinforce the pilot flame","Bridge","Epica","Death is Not the End","Epica",8384862
"260","See through the lies","Bridge","Epica","Death is Not the End","Epica",8384862
"261","Break through this sphere","Bridge","Epica","Death is Not the End","Epica",8384862
"262","Lift the veil, find liberty","Bridge","Epica","Death is Not the End","Epica",8384862
"263","Trust yourself, wipe off your tears","Bridge","Epica","Death is Not the End","Epica",8384862
"264","Eliminate the toxic shame","Bridge","Epica","Death is Not the End","Epica",8384862
"265","Be who you are, you're almost there","Bridge","Epica","Death is Not the End","Epica",8384862
"266","Face the truth, relief is near","Bridge","Epica","Death is Not the End","Epica",8384862
"267","Overthrow the inner state that pulls you down","Verse 3","Epica","Death is Not the End","Epica",8384862
"268","Release all of the pain","Verse 3","Epica","Death is Not the End","Epica",8384862
"269","And face your sorrows","Verse 3","Epica","Death is Not the End","Epica",8384862
"270","Lost in sadness","Pre-Chorus","Epica","Death is Not the End","Epica",8384862
"271","Dying from the madness","Pre-Chorus","Epica","Death is Not the End","Epica",8384862
"272","Lost in vastness","Pre-Chorus","Epica","Death is Not the End","Epica",8384862
"273","Killing for a conquest","Pre-Chorus","Epica","Death is Not the End","Epica",8384862
"274","Breathe through my final breath","Chorus","Epica","Death is Not the End","Epica",8384862
"275","Fear of a never-ending trail of tears","Chorus","Epica","Death is Not the End","Epica",8384862
"276","Death is not the end","Chorus","Epica","Death is Not the End","Epica",8384862
"277","Blood all over your hands","Chorus","Epica","Death is Not the End","Epica",8384862
"278","Guilt broke you down for all those countless years","Chorus","Epica","Death is Not the End","Epica",8384862
"279","Catch that final breath","Chorus","Epica","Death is Not the End","Epica",8384862
"280","Mortal death is near","Chorus","Epica","Death is Not the End","Epica",8384862
"281","Breathe through my final breath","Chorus","Epica","Death is Not the End","Epica",8384862
"282","Bear no more of these burdens, as you'll see","Chorus","Epica","Death is Not the End","Epica",8384862
"283","Death is not the end","Chorus","Epica","Death is Not the End","Epica",8384862
"284","Death is not the end","Chorus","Epica","Death is Not the End","Epica",8384862
"285","Catch that final breath","Chorus","Epica","Death is Not the End","Epica",8384862
"286","Death is not the end","Chorus","Epica","Death is Not the End","Epica",8384862
"287","You'll understand","Chorus","Epica","Death is Not the End","Epica",8384862
"288","Your essence will remain","Outro","Epica","Death is Not the End","Epica",8384862
"289","Don't evade, embrace your pain","Outro","Epica","Death is Not the End","Epica",8384862
"290","End your suffering","Outro","Epica","Death is Not the End","Epica",8384862
"291","Clear the sky, the end is near","Outro","Epica","Death is Not the End","Epica",8384862
"292","Eternal as you are","Outro","Epica","Death is Not the End","Epica",8384862
"293","Don't evade, accept your fate","Outro","Epica","Death is Not the End","Epica",8384862
"294","Embrace the end as it is near","Outro","Epica","Death is Not the End","Epica",8384862
"295","Inhale the air, you're finally free","Outro","Epica","Death is Not the End","Epica",8384862
"296","Be free","Outro","Epica","Death is Not the End","Epica",8384862
"297","Madness surrounds me, anger growing, disbelief","Verse 1","Epica","Human Devastation","Epica",8384863
"298","Chaos erupting, turmoil brewing, fires blaze","Verse 1","Epica","Human Devastation","Epica",8384863
